CODIGO DA COMPOSICAO,DESCRICAO DA COMPOSICAO,UNIDADE,CUSTO TOTAL,TIPO ITEM,CODIGO ITEM,DESCRIÇÃO ITEM,UNIDADE ITEM,COEFICIENTE,PRECO UNITARIO,CUSTO TOTAL.1,CUSTO MAO DE OBRA,% MAO DE OBRA
97141.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"4,58",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0320000","21,38","0,68",,
97142.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"5,30",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0404000","21,38","0,86",,
97143.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"7,07",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0614000","21,38","1,31",,
97144.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"8,82",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,0823000","21,38","1,75",,
97145.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"10,62",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1033000","21,38","2,20",,
97146.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"12,42",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1243000","21,38","2,65",,
97147.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"14,20",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1453000","21,38","3,10",,
97148.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"16,00",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1662000","21,38","3,55",,
97149.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"17,81",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,1872000","21,38","4,00",,
97150.0,"ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF_05/2024",M,"22,92",COMPOSICAO,88316.0,SERVENTE COM ENCARGOS COMPLEMENTARES,H,"0,2082000","21,38","4,45",,
